path,country,kind,departure_state,has_departures_section,has_waitlist_section,book_cta_is_anchor,booking_links,has_price,price_min,word_count,has_product_schema,title_len,meta_desc_len
/jordan/jordan-et-magisk-kongerige,jordan,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3172,1,65,178
/spanien/det-gode-liv-langtidsferie-i-andalusien,spanien,trip,A bookable online,1,1,1,2,1,15490,1854,1,49,151
/skotland/sagnomspundne-skotland,skotland,trip,A bookable online,1,1,1,4,1,14995,3878,1,64,166
/italien/vandreferie-ved-gardasoeen,italien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2202,1,56,165
/marokko/magiske-marrakech-og-essaouira,marokko,trip,A bookable online,1,1,1,4,1,11995,3775,1,69,167
/sydkorea/essensen-af-sydkorea,sydkorea,trip,A bookable online,1,1,1,4,1,24995,4066,1,58,167
/graekenland/oe-hop-i-graekenland,graekenland,trip,A bookable online,1,1,1,1,1,13795,3194,1,54,174
/england/haverejse-i-england-med-chelsea-flower-show,england,trip,A bookable online,1,1,1,1,1,13995,2851,1,66,166
/portugal/vidunderlige-madeira,portugal,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2282,1,69,165
/portugal/idylliske-tavira,portugal,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,1886,1,59,168
/portugal/vandreferie-i-portugal,portugal,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3147,1,51,161
/irland/vandreferie-i-irland,irland,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3060,1,60,165
/indien/sydindiens-guddommelige-hjerte-kerala,indien,trip,A bookable online,1,1,1,2,1,19995,4591,1,63,147
/flodkrydstogter/flodkrydstogt-fra-alsace-til-toppen-af-de-schweiziske-alper,flodkrydstogter,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,1359,1,57,142
/italien/sommer-paa-amalfikysten,italien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2296,1,59,176
/spanien/tenerife-det-evige-foraars-oe,spanien,trip,D empty (Afgange ikke tilgængelige),1,0,1,0,1,10995,1760,1,58,168
/kroatien/kroatiens-smukke-kyst,kroatien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,1739,1,65,166
/italien/vandreferie-i-cinque-terre,italien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,1,12995,2312,1,60,178
/portugal/praegtige-portugal,portugal,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2588,1,63,182
/polen/kulturel-kvalitetstid-i-krakow,polen,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,1922,1,61,143
