path,kind,ldjson_blocks,top_level,nested,error
/frankrig/saint-tropez,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/frankrig/seinen,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/sorrento,editorial-city,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/frankrig/strasbourg,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/stresa,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/toscana,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/umbrien,editorial-city,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/irland/kilkenny,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/lago-maggiore,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/pompeji,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/piemonte,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/amalfikysten,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/apulien,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/belgien/bruxelles,editorial-city,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/sverige/gotland,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/faeroeerne/torshavn,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/irland/dublin,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/tyskland/munchen,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/genova,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/kroatien/dubrovnik,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/firenze,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/cinque-terre,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/frankrig/paris,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/bosnien/mostar,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/england/london,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/estland/tallinn,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/holland/amsterdam,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/tyskland/koln,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/england/sydengland,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/kroatien/split,editorial-city,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/belgien/antwerpen,editorial-city,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/graekenland/mykonos,editorial-city,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/graekenland/santorini,editorial-city,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/portugal/madeira/madeira-vandreferie,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/england/haverejser-england,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/portugal/madeira/madeira-rundrejser,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/portugal/madeira/madeira-blomsterfestival,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/portugal/portugal-flodkrydstogter,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/schweiz/schweiz-togrejser,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/spanien/mallorca/soller,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/spanien/mallorca,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/spanien/mallorca/palma,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/musik-og-underholdning/koncert-rejser/andrea-bocelli,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/jul-og-nytaar/julerejser,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/musik-og-underholdning/operarejser,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/spanien/tenerife,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/spanien/ronda,editorial-city,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/ungarn/budapest,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/england/rundrejser-england,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/frankrig/rouen,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/frankrig/cannes,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/madrejser/gastronomirejser,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/amalfi,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/vinrejser/portvinsrejser,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/spanien/san-sebastian,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/portugal/portugal-rundrejser,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/spanien/malaga,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/amalfi/amalfi-kulturrejser,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/england/oxford,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/apulien/apulien-kulturrejser,editorial-thin,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/portugal/portugal-kulturrejser,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/portugal/madeira/madeira-langtidsferie,editorial-thin,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/europa/kulturrejser,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
