url,path,country,booking_links,empty_departures_rendered,empty_label_present,btn_inquiry_rendered,btn_waitlist_rendered,has_price,price_min,word_count,has_product_schema
https://smilrejser.dk/balkan/betagende-nord-balkan,/balkan/betagende-nord-balkan,balkan,0,1,1,0,0,0,,2887,1
https://smilrejser.dk/graekenland/nordgraekenland-mellem-himmel-og-hav,/graekenland/nordgraekenland-mellem-himmel-og-hav,graekenland,1,0,1,1,0,1,13995,2503,1
https://smilrejser.dk/portugal/vandreferie-paa-madeira,/portugal/vandreferie-paa-madeira,portugal,10,0,1,1,0,1,12995,4526,1
https://smilrejser.dk/portugal/vandreferie-paa-algarvekysten,/portugal/vandreferie-paa-algarvekysten,portugal,2,0,1,1,0,1,13995,3995,1
https://smilrejser.dk/faeroeerne/fabelagtige-faeroerne,/faeroeerne/fabelagtige-faeroerne,faeroeerne,0,1,1,0,0,0,,3254,1
https://smilrejser.dk/italien/cilento-det-hemmelige-syditalienske-paradis,/italien/cilento-det-hemmelige-syditalienske-paradis,italien,2,0,1,1,1,1,12995,2337,1
https://smilrejser.dk/italien/vidunderlige-amalfi,/italien/vidunderlige-amalfi,italien,22,0,1,1,1,1,10995,5354,1
https://smilrejser.dk/italien/kulinariske-vandringer-paa-amalfikysten,/italien/kulinariske-vandringer-paa-amalfikysten,italien,5,0,1,0,0,1,8995,4080,1
https://smilrejser.dk/england/vandreferie-i-lake-district,/england/vandreferie-i-lake-district,england,0,1,1,0,0,0,,3764,1
https://smilrejser.dk/flodkrydstogter/flodkrydstogt-paa-douro-floden,/flodkrydstogter/flodkrydstogt-paa-douro-floden,flodkrydstogter,0,1,1,0,0,0,,3234,1
https://smilrejser.dk/italien/et-syditaliensk-eventyr,/italien/et-syditaliensk-eventyr,italien,8,0,1,0,1,1,13995,2910,1
https://smilrejser.dk/italien/opera-verona,/italien/opera-verona,italien,1,0,1,0,1,1,10495,2405,1
https://smilrejser.dk/italien/vidunderlige-norditalien,/italien/vidunderlige-norditalien,italien,2,0,1,0,1,1,11995,2122,1
https://smilrejser.dk/schweiz/toppen-af-alperne-med-gletsjer-ekspressen,/schweiz/toppen-af-alperne-med-gletsjer-ekspressen,schweiz,0,0,1,0,0,1,20495,2643,1
https://smilrejser.dk/marokko/marokko-blandt-berbere-og-beduiner,/marokko/marokko-blandt-berbere-og-beduiner,marokko,1,0,1,0,0,1,17495,4159,1
https://smilrejser.dk/italien/vesuvs-arkaeologiske-skygge,/italien/vesuvs-arkaeologiske-skygge,italien,6,0,1,0,1,1,11995,2977,1
https://smilrejser.dk/italien/puccini-operarejse-til-toscana,/italien/puccini-operarejse-til-toscana,italien,0,1,1,0,0,0,,2263,1
https://smilrejser.dk/italien/vidunderlige-toscana,/italien/vidunderlige-toscana,italien,3,0,1,0,1,1,9995,2783,1
https://smilrejser.dk/italien/gardasoeens-herligheder,/italien/gardasoeens-herligheder,italien,2,0,1,1,0,1,9995,2636,1
https://smilrejser.dk/portugal/nytaarsrejse-til-madeira,/portugal/nytaarsrejse-til-madeira,portugal,1,0,1,0,0,1,17495,4367,1
https://smilrejser.dk/graekenland/unik-rundrejse-paa-peloponnes,/graekenland/unik-rundrejse-paa-peloponnes,graekenland,1,0,1,1,0,1,15095,3417,1
https://smilrejser.dk/oman/oman-det-fortryllende-oerkenland,/oman/oman-det-fortryllende-oerkenland,oman,0,1,1,0,0,0,,2963,1
https://smilrejser.dk/irland/fortryllende-irland,/irland/fortryllende-irland,irland,2,0,1,0,0,1,15995,4302,1
https://smilrejser.dk/cypern/cypern-afrodites-smukke-oe,/cypern/cypern-afrodites-smukke-oe,cypern,1,0,1,0,0,1,11495,2123,1
https://smilrejser.dk/italien/klassiske-sicilien,/italien/klassiske-sicilien,italien,2,0,1,0,0,1,15495,3485,1
https://smilrejser.dk/portugal/paa-opdagelse-i-portugal,/portugal/paa-opdagelse-i-portugal,portugal,3,0,1,1,0,1,15495,4637,1
https://smilrejser.dk/portugal/porto-og-douro-dalens-herligheder,/portugal/porto-og-douro-dalens-herligheder,portugal,2,0,1,1,1,1,13695,4331,1
https://smilrejser.dk/portugal/cascais-portugals-riviera,/portugal/cascais-portugals-riviera,portugal,2,0,1,0,0,1,7695,2753,1
https://smilrejser.dk/italien/vin-og-gastronomi-i-piemonte,/italien/vin-og-gastronomi-i-piemonte,italien,1,0,1,0,1,1,13995,2147,1
https://smilrejser.dk/skotland/vandreferie-i-skotland,/skotland/vandreferie-i-skotland,skotland,2,0,1,1,0,1,15995,4102,1
https://smilrejser.dk/frankrig/sydfranske-eventyr-i-provence,/frankrig/sydfranske-eventyr-i-provence,frankrig,2,0,1,1,0,1,13495,2786,1
https://smilrejser.dk/flodkrydstogter/flodkrydstogt-paa-rhinen,/flodkrydstogter/flodkrydstogt-paa-rhinen,flodkrydstogter,0,1,1,0,0,0,,3195,1
https://smilrejser.dk/flodkrydstogter/flodkrydstogt-paa-seinen,/flodkrydstogter/flodkrydstogt-paa-seinen,flodkrydstogter,1,0,1,1,0,1,16995,3298,1
https://smilrejser.dk/italien/nytaar-i-det-historiske-rom,/italien/nytaar-i-det-historiske-rom,italien,1,0,1,0,0,1,11995,1852,1
